                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                                     date 
                                    1450                                     1579                  1.0000000000000000E+000                  2.0000000000000000E-002                  5.0803346487948738E+003                  6.6419583411110816E-002                  5.0321787616162628E+003                  1.1493895136682008E+002                  1.4124735723126378E+001                  1.6282319731823495E+001                  0.0000000000000000E+000                  7.7364429731608664E-056                  9.8010537271101050E-001                  5.4461104179386640E-005                  9.6491163712053643E-003                  4.0012655803916943E-003                  2.0994599496983696E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  5.1033444711873921E-001                  1.0055168993722621E-003                  4.6867540876119984E-001                  2.2653395534530350E-003                  3.8604004690592966E-003                  7.6691029649646253E-003                  2.0994599496977008E-003                  2.4751831697620238E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999976174402405E-001                  1.4091979858912719E+001                  9.9999968468921852E-001                  1.4081797963494838E+001                  5.3150097768904525E+005                  1.4458790916337499E+004                  8.7002707794728875E+007                  2.5003189197282236E+001                  2.5003189197282232E+001                  8.7186710323725792E-017                  1.7110690576558580E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.6032596281558060E+011                                    11701                               "gfortran"                                  "7.2.0"                                       ""                               "20190727" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                  eps_nuc                           log_L_div_Ledd                        log_Lrad_div_Ledd                             conv_L_div_L                       engulfment_heating 
                                       1                  1.0000000000000000E+000                  1.1499803308233965E+000                  3.7017561403474146E+000                 -7.9238869793132176E+000                  3.5824855065988546E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.4124735723126378E+001                  1.7475603890770467E-027                 -3.6746663194017448E+000                 -3.6746663190727524E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       2                  9.9999999999949996E-001                  1.1499803277868603E+000                  3.7017563001245035E+000                 -7.9238858611101435E+000                  3.5824867845412531E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.4124735624367883E+001                  1.7475648891013357E-027                 -3.6746663194035740E+000                 -3.6746663190727524E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       3                  9.9999999999899991E-001                  1.1499803247503304E+000                  3.7017565797348992E+000                 -7.9238839042642661E+000                  3.5824890209314657E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.4124735525609591E+001                  1.7475727641334835E-027                 -3.6746648710972387E+000                 -3.6746646912793341E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       4                  9.9999999999774991E-001                  1.1499803171590397E+000                  3.7017569791802649E+000                 -7.9238811087919139E+000                  3.5824922157548729E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.4124735278714967E+001                  1.7475840141534117E-027                 -3.6746612503212526E+000                 -3.6746612506419312E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       5                  9.9999999999649980E-001                  1.1499803095677983E+000                  3.7017575783510099E+000                 -7.9238769156299362E+000                  3.5824970079462588E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.4124735031821952E+001                  1.7476008891317589E-027                 -3.6746576295336268E+000                 -3.6746573291888658E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       6                  9.9999999999399991E-001                  1.1499802943854622E+000                  3.7017585769783592E+000                 -7.9238699271528255E+000                  3.5825049948155030E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  1.4124734538040704E+001                  1.7476290139499667E-027                 -3.6746503879254444E+000                 -3.6746500885423892E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       7                  9.9999999999024980E-001                  1.1499802716123197E+000                  3.7017598752124781E+000                 -7.9238608423692085E+000                  3.5825153775281180E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.4124733797380632E+001                  1.7476655759380254E-027                 -3.6746395254233111E+000                 -3.6746393754921467E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       8                  9.9999999998587497E-001                  1.1499802450442047E+000                  3.7017618225948743E+000                 -7.9238472156879460E+000                  3.5825309511354479E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  1.4124732933295185E+001                  1.7477204183655407E-027                 -3.6746268523637995E+000                 -3.6746260284053398E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       9                  9.9999999997806255E-001                  1.1499801976026183E+000                  3.7017651931627493E+000                 -7.9238236317368793E+000                  3.5825579041479383E+000                  6.9999999829393644E-001                  2.8000000170606376E-001                  1.9999999999999796E-002                  1.4124731390333602E+001                  1.7478153307235290E-027                 -3.6746042216965229E+000                 -3.6746029106852474E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      10                  9.9999999996478117E-001                  1.1499801169562642E+000                  3.7017709358960671E+000                 -7.9237834515911336E+000                  3.5826038202770025E+000                  6.9999998545505382E-001                  2.8000001454494633E-001                  1.9999999999999796E-002                  1.4124728767440537E+001                  1.7479769958527132E-027                 -3.6745657503678268E+000                 -3.6745635024279255E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      11                  9.9999999994212496E-001                  1.1499799793956993E+000                  3.7017795507355089E+000                 -7.9237231974608893E+000                  3.5826726854568993E+000                  6.9999998113352080E-001                  2.8000001886647952E-001                  1.9999999999999685E-002                  1.4124724293505363E+001                  1.7482195314255361E-027                 -3.6745001199446041E+000                 -3.6744980576581763E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      12                  9.9999999991087496E-001                  1.1499797896830970E+000                  3.7017911634099709E+000                 -7.9236419802582390E+000                  3.5827654866306982E+000                  6.9999991932027483E-001                  2.8000008067972537E-001                  1.9999999999999796E-002                  1.4124718123411730E+001                  1.7485462213249065E-027                 -3.6744095884042922E+000                 -3.6744071552893742E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      13                  9.9999999986946864E-001                  1.1499795383605171E+000                  3.7018055878663794E+000                 -7.9235410003918041E+000                  3.5828807123681976E+000                  6.9999950391470178E-001                  2.8000049608529837E-001                  1.9999999999999796E-002                  1.4124709949557996E+001                  1.7489507983835017E-027                 -3.6742896691216305E+000                 -3.6742879179443850E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                      14                  9.9999999982064058E-001                  1.1499792420578947E+000                  3.7018261979275229E+000                 -7.9233958636568911E+000                  3.5830452679997498E+000                  6.9999669376853457E-001                  2.8000330623146547E-001                  2.0000000000000018E-002                  1.4124700312808402E+001                  1.7495213917895616E-027                 -3.6741484150275294E+000                 -3.6741411691188688E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001 
